,gender,age,emotion,base,rewriting,semantic,transformation
11,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,از شنیدن شما ناراحت شدم ، متاسفم.آیا چیز غم انگیزی وجود دارد؟,0,HIGH
12,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا چیز خاصی در مورد این احساس وجود دارد؟,0,HIGH
13,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا می توانید به من بگویید که آیا وضعیت خاصی وجود دارد که باعث می شود این احساس را داشته باشید؟,0,HIGH
14,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا چیز خاصی وجود دارد که باعث می شود این احساس را داشته باشید؟,0,HIGH
15,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,متاسفم که شما این احساس را احساس می کنید.آیا می توانید به من بگویید که آیا رویدادهای خاصی وجود دارد که باعث این امر می شود؟,0,HIGH
16,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا این اتفاق خاص است؟,0,HIGH
17,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا تا به حال در زندگی شخصی خود اتفاق افتاده است؟,0,HIGH
18,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,لطفا به من بگویید ، آیا این ناشی از وقایع خاص است؟,0,HIGH
19,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,قبل از این احساس چه اتفاقی افتاد؟,0,HIGH
20,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,برای اینکه احساس بهتری داشته باشید ، باید درک کنم که آیا این اتفاق افتاده است یا خیر.آیا رویدادهای خاصی وجود دارد که باعث ناراحتی شما می شود؟,0,HIGH
21,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,اوه ، متاسفم که این را شنیدمآیا ناشی از یک وضعیت خاص است؟,0,HIGH
22,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا چیزی وجود دارد که باعث می شود چنین احساسی داشته باشید؟,0,HIGH
23,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,فکر می کنید چیز خاصی وجود دارد که باعث می شود این احساس را داشته باشید؟شما می توانید برای من باز باشید.,0,HIGH
24,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا به یاد دارید چه نوع چیزی باعث می شود چنین احساسی داشته باشید؟,0,HIGH
25,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا می توانید به رویدادهای خاصی فکر کنید که باعث می شود چنین احساسی داشته باشید؟,0,HIGH
26,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,با عرض پوزش از شنیدن این ، من می توانم درک کنم.آیا رویدادی وجود دارد که باعث این وضعیت شود؟,0,HIGH
27,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا چیز خاصی غم انگیز است؟,0,HIGH
28,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا اتفاق خاصی وجود دارد که باعث شود شما چنین احساسی داشته باشید؟,0,HIGH
29,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا این احساس ناشی از وقایع خاص است؟,0,HIGH
30,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا این به خاطر این چیز خاص است؟,0,HIGH
31,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا می توانید به دلیل خاص برای این فکر کنید؟,0,HIGH
32,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,من افسوس آن را میخورم.آیا می توانید به من بگویید که آیا ناشی از یک رویداد خاص یا رویدادی است که می توانید به اشتراک بگذارید؟,0,HIGH
33,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا این اتفاق می افتد؟,0,HIGH
34,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا اکنون اتفاقی افتاده است که احساسات شما را ایجاد کند؟,0,HIGH
35,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا چیزی وجود دارد که باعث می شود چنین احساسی داشته باشید؟,0,HIGH
36,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,متاسفم که این را شنیدمآیا می توانید به علت خاص این وضعیت فکر کنید؟,0,HIGH
37,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا می توانید به من بگویید که آیا این ناشی از وقایع خاص است؟,0,HIGH
38,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,متشکرم ، من می فهممآیا دلیل خاصی برای این امر وجود دارد؟,0,HIGH
39,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا چیزی وجود دارد که شما را ناراحت کند؟,0,HIGH
40,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا چیز خاصی وجود دارد که باعث این احساس شود؟,0,HIGH
41,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,لطفاً به من بگویید که آیا این احساس از یک رویداد سرچشمه گرفته است؟,0,HIGH
42,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا احساس خاصی از شما وجود دارد؟,0,HIGH
43,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,من خیلی متاسفم.آیا این ناشی از وقایع خاص است؟,0,HIGH
44,مرد,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,چگونه احساس پشیمانی می کنیدآیا این به دلایل خاص ایجاد شده است؟,0,HIGH
45,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا فکر می کنید احساسات فعلی شما ممکن است ناشی از وقایع یا رویدادهای خاص باشد؟,0,HIGH
46,زن,18-39,غمگین,آیا این ناشی از رویدادهای خاص است؟,با تشکر از شما برای به اشتراک گذاشتن احساسات خود با من ، می دانم که اکنون برخورد با آنها دشوار است.برای اینکه من بهتر به شما کمک کنم ، می توانید به من بگویید که وقایع خاص باعث می شود این احساس را داشته باشید؟,0,HIGH
47,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,ببخشید ، آیا دلیل خاصی وجود دارد؟,0,HIGH
48,مرد,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,آیا این مربوط به رویدادهای خاص است؟,0,HIGH
49,زن,40-69,غمگین,آیا این ناشی از رویدادهای خاص است؟,متشکرم که به من اطلاع دادید ، من از اینکه این را احساس می کنید بسیار متاسفم.آیا دلیل خاصی برای این احساس وجود دارد؟,0,HIGH
50,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,من می توانم با این موافقماکنون ، این احساسات نتیجه وقایعی است که مدتها پیش اتفاق افتاده است؟,1,HIGH
51,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,می بینم.آیا می گویید این اتفاق اخیراً رخ داده است یا یک رویداد دور؟,1,HIGH
52,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,متشکرم ، من می فهممآیا می توانید به من بگویید که اخیراً چه اتفاقی افتاده است یا چندی پیش چه اتفاقی افتاده است؟امیدوارم به دلیل این حادثه زیاد صدمه نبینید.,1,HIGH
53,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا می توانید به من بگویید که آیا این یا چندین رویداد اخیراً اتفاق افتاده است یا در گذشته؟,1,HIGH
54,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,شما اکنون باید دردناک باشید.آیا می توانید این حادثه را اخیراً یا بیشتر به اشتراک بگذارید؟,1,HIGH
55,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا حادثه ای که باعث غم و اندوه شما می شود ، چه حادثه اخیر یا اتفاقاتی که چندی پیش رخ داده است؟,1,HIGH
56,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,درک کنید ، از اینکه به اشتراک گذاشتید متشکرماین اخیراً است یا دور؟,1,HIGH
57,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این احساس ناشی از این اخیر یا گذشته است؟,1,HIGH
58,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا حادثه ای که اخیراً باعث غم و اندوه شما می شود یا دور است؟,1,HIGH
59,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این اتفاقی است که اخیراً رخ داده است یا چه اتفاقی افتاده است؟,1,HIGH
60,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این به دلیل وضعیت اخیر یا دور است؟,1,HIGH
61,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این احساسات اخیراً این احساسات را برانگیخته است؟,1,HIGH
62,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا فکر می کنید وضعیتی که باعث می شود این احساسات را تجربه کنید جدیدترین یا دور است؟,1,HIGH
63,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این فقط اتفاق می افتد یا آنچه در گذشته اتفاق افتاده است؟,1,HIGH
64,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا رویدادی که باعث می شود اخیراً این احساس را احساس کنید یا مدتها پیش؟,1,HIGH
65,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این چیزی است که اخیراً اتفاق افتاده است یا یک چیز دورتر؟,1,HIGH
66,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,می فهمید ، از این موضوع ناشی از رویداد اخیر یا دور (یا حادثه) متشکرم؟,1,HIGH
67,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این حادثه اخیراً یا مدتها پیش اتفاق افتاده است؟,1,HIGH
68,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,درک وقت خود برای مقابله با این مشکل مهم است.آیا این حادثه اخیر است یا یک حادثه دور؟,1,HIGH
69,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این ناشی از حادثه اخیر یا دور است؟,1,HIGH
70,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این حادثه اخیراً اتفاق افتاده است یا در گذشته؟,1,HIGH
71,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,متشکرم ، من می خواهم بدانم که فکر می کنید در مورد زندگی شما این احساس را ایجاد کرده است.آیا این حادثه اخیر است یا گذشته ای دورتر؟,1,HIGH
72,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,مدتها پیش است یا مدتها پیش؟,1,HIGH
73,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این ناشی از وقایع اخیر یا دورتر است؟,1,HIGH
74,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,داشتن این احساس اشکالی ندارد.آیا این حادثه اخیراً اتفاق افتاده است یا چندی پیش اتفاق نیفتاده است؟,1,HIGH
75,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,می بینم.آیا این اتفاقی است که اخیراً رخ داده است یا چه اتفاقی در گذشته دور افتاده است؟,1,HIGH
76,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,با عرض پوزش ، باید دشوار باشدآیا این اتفاقی است که اخیراً اتفاق افتاده است یا چه مدت قبل چه اتفاقی افتاده است؟,1,HIGH
77,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این احساس ناشی از وقایع اخیر یا دوردست است؟,1,HIGH
78,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا می توانید در مورد آنچه اتفاق افتاده است بیشتر به من بگویید؟آیا این حادثه دور است یا نزدیکترین؟,1,HIGH
79,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,درک کنید ، از اینکه به اشتراک گذاشتید متشکرمآیا می گویید این اتفاق اخیراً یا یک رویداد دور افتاده است تا بتوانم تصاویر بهتری بگیرم؟,1,HIGH
80,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این حادثه اخیراً یا چندی پیش اتفاق افتاده است؟,1,HIGH
81,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این رویدادی است که باعث ایجاد این احساساتی که اخیراً اتفاق افتاده است یا در گذشته های دور اتفاق افتاده است؟,1,HIGH
82,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا شما یک گذشته دور یا یک چیز اخیر را به یاد می آورید؟,1,HIGH
83,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,فکر می کنید اخیراً این احساس را به وجود آورده است ، یا خیلی دور است؟,1,HIGH
84,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,متشکرم از اینکه مرا مطلع کردید.آیا این ناشی از وقایع اخیر یا دوردست (یا وقایع) است؟,1,HIGH
85,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,می بینم.آیا این اتفاق اخیراً رخ داده است یا قبل؟,1,HIGH
86,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این حادثه اخیراً اتفاق افتاده است یا چندی پیش اتفاق افتاده است؟,1,HIGH
87,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,متاسفم که این را شنیدمآیا برخی از وقایع اخیر وجود دارد که می تواند به عنوان علت این امر استفاده شود ، یا حوادثی که چندی پیش اتفاق افتاده است؟,1,HIGH
88,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا می گویید این نتیجه وقایع گذشته اخیر یا دور است؟,1,HIGH
89,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,خیلی متاسفم که این را شنیدمآیا این اتفاق اخیراً رخ داده است یا نه؟,1,HIGH
90,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,متاسفم که این را شنیدمهمچنین می توانم بپرسم که آیا این امر ناشی از وقایع اخیر یا دور (یا رویدادها) است؟,1,HIGH
91,مرد,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا این اتفاق اخیراً رخ داده است یا چندی پیش اتفاق افتاده است؟,1,HIGH
92,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,خیلی ممنون که به من اطلاع دادید.آیا می گویید که این احساسات باعث ایجاد این احساسات شده است که اخیراً یا حوادث دور (یا حوادث) است؟,1,HIGH
93,زن,18-39,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,می بینم ، متشکرمآیا این حادثه نزدیکتر است یا دورتر؟به هر حال ، من امیدوارم که این آسیب زیاد برای شما نباشد.,1,HIGH
94,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,آیا اخیراً این اتفاق افتاده است ، یا از گذشته شما دور است؟,1,HIGH
95,مرد,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,می بینم.آیا این مربوط به آنچه اخیراً اتفاق افتاده است یا یک رویداد دورتر است؟,1,HIGH
96,زن,40-69,غمگین,آیا این ناشی از وقایع اخیر یا دوردست (یا چندین رویداد) است؟,می بینم ، متشکرممنظورتان این است که اخیراً این اتفاق افتاده است ، یا به یاد داشتید که خیلی دور هستید؟,1,HIGH
97,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,اول از همه ، احساسات شما برای من مهم است ، بنابراین باید از شما تعامل بین شما و تمرین را بپرسم.آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید. اگر چنین باشد ، آیا در این امر به این دلیل که به این فکر می کنید ، مشکل خواهد داشت؟,2,HIGH
98,زن,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,برخی از افراد دریافتند که تمرین 6 لزوماً برای آنها مفید نیست ، بنابراین من سعی می کنم ارزیابی کنم که آیا برای وضعیت فعلی شما مناسب است یا خیر.آیا سعی کرده اید 6 را تمرین کنید؟ آیا این باعث می شود احساسات منفی احساس کنید؟,2,HIGH
99,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,متشکرم ، من می فهممآیا می گویید این احساسات منفی با تلاش های اخیر تمرین 6 ایجاد می شود؟,2,HIGH
100,زن,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,اگر اخیراً تمرین 6 را مطالعه کرده اید و احساسات بدی را از رویدادهای گذشته به وجود می آورد ، می توانید به من بگویید؟,2,HIGH
101,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا شما تمرین 6 را امتحان کرده اید؟ اگر چنین است ، بررسی کنید که آیا این واقعه آسیب زا زخم قدیمی را که باعث فوران عاطفی می شود ، بازگشایی می کند؟,2,HIGH
102,زن,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,من می خواهم بدانم ، آیا اخیراً سعی می کنم 6 تمرین کنم تا احساس بدی ایجاد کند؟اگر این اتفاق بیفتد ، امیدوارم که به دلیل آن تمرین زیاد رنج نبرید.,2,HIGH
103,مرد,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا می توانید سعی کنید 6 تمرین کنید؟ اگر چنین است ، آیا احساس می کنید باید همان دشواری را که در گذشته تجربه کرده اید تمرین کنید؟,2,HIGH
104,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا تا به حال سعی کرده اید 6 تمرین کنید؟ اگر چنین است ، آیا این امر باعث ایجاد احساسات منفی در گذشته خواهد شد؟,2,HIGH
105,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,من می فهمم که این ممکن است دشوار باشد.آیا سعی کرده اید 6 تمرین را برای درک بهتر احساسات خود انجام دهید ، اما از طریق آن بسیار دردناک است؟,2,HIGH
106,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و در نتیجه ، چه اتفاقی در گذشته رخ داده است و احساسات آماده نشده را دوباره امضا کرده است؟,2,HIGH
107,زن,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا می توانید به من بگویید که بعد از تلاش برای تمرین 6 برای زنده کردن حادثه تروما ، آیا این احساس را احساس می کنید؟,2,HIGH
108,زن,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا ورزش 6 را انجام داده اید و احساس بدتر می کنید؟,2,HIGH
109,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا فکر می کنید غم و اندوه اخیر شما ممکن است به این دلیل باشد که شما سعی کردید 6 تمرین کنید؟,2,HIGH
110,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا سعی می کنید تمرین 6 را تکمیل کنید و به دلیل آنچه در گذشته اتفاق افتاده است ، احساسات بدی را از خواب بیدار کرده اید؟,2,HIGH
111,مرد,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا تاکنون اخیراً سعی کرده اید 6 تمرین کنید؟ آیا در گذشته احساسات دشوار را به وجود آورد؟,2,HIGH
112,زن,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا سعی می کنید از تمرین 6 استفاده کنید؟ اگر چنین است ، آیا این امر به دلیل وقایع گذشته باعث مشکل خواهد شد؟,2,HIGH
113,زن,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا اتفاق افتاده است که سعی در تمرین 6 داشته باشید ، آیا فکر می کنید این ممکن است دلیل داشتن این احساسات منفی باشد؟,2,HIGH
114,زن,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید؟ اگر سعی کرده اید ، آیا احساسات دشوار از وقایع گذشته به همراه خواهد داشت؟,2,HIGH
115,مرد,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,وقایع گذشته ما ممکن است باعث احساسات شود.آیا وقتی 6 تمرین را انجام می دهید ، احساسات منفی قوی را تجربه کرده اید؟,2,HIGH
116,زن,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که این احساس مقاومت ناپذیر به دلیل حافظه قدیمی مجدداً امضا می شود؟,2,HIGH
117,زن,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا وقایع منفی در گذشته باعث می شود احساس ناراحتی کنید؟,2,HIGH
118,مرد,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,فکر می کنید اکنون به شما آسیب می رساند؟,2,HIGH
119,مرد,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا تا به حال سعی کرده اید از تمرین 6 استفاده کنید و آیا آن احساسات ناراحت کننده را به وجود آورده است؟,2,HIGH
120,زن,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و متوجه شوید که این احساسات عاطفی غیرقابل توقف را که باعث شده حادثه گذشته شده است ، بازیابی کرده است؟,2,HIGH
121,مرد,40-69,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,تمرین 6 می تواند احساساتی را که ممکن است برای مدت طولانی احساس نکنید ، برانگیزد ، بنابراین می خواهم بدانم که آیا این انتخاب صحیح شماست یا خیر.آیا این امکان وجود دارد که اخیراً سعی کرده اید 6 را تمرین کنید ، که این احساسات منفی را دوباره توصیف کرده است؟,2,HIGH
122,زن,18-39,غمگین,آیا تا به حال اخیراً سعی کرده اید 6 تمرین کنید و دریابید که به دلیل وقایع قدیمی نمی توانید احساسات را کنترل کنید؟,آیا سعی می کنید تمرین 6 را دنبال کنید؟ اگر چنین است ، آیا احساس ناراحتی می کنید؟,2,HIGH
