response,annotator1_score,annotator2_score,annotator3_score,empathy_score
آیا شما اعتقاد دارید که قربانی هستید؟,0,0,0,0
الان چه احساسی دارید؟کمک کرد؟,0,1,0,0
آیا احساس می کنید باید از دیگران مراقبت کنید؟,0,0,1,0
از اینکه احساسات خود را با من به اشتراک گذاشتید متشکرمبرای درک وضعیت شما ، اکنون با اجازه شما دوست دارم تا از شما سؤالاتی بپرسم.,2,2,2,2
آیا می توانید به من بگویید که آیا بعد از تلاش برای پروتکل 11 برای تجدید نظر در یک واقعه آسیب زا از گذشته ، این احساس را احساس کردید؟,1,2,1,1
آیا این چیزی است که شما مدتی نگران آن بوده اید ، یا چیز جدیدی است که در ذهن شماست؟,1,1,1,1
آیا فکر می کنید چه زمانی این اتفاق افتاد ، آیا اخیر بود یا دور؟,1,2,1,1
آیا دوست دارید دوباره با موارد دیگری امتحان کنید؟,0,1,1,1
در حال حاضر ، آیا چیزی وجود دارد که شما را در حلقه دوستان یا خانواده شما تحت تأثیر قرار دهد؟,0,1,0,0
آیا همیشه به خاطر اتفاقات منفی که برای شما اتفاق می افتد احساس گناه یا عصبانی می کنید؟,0,0,0,0
آیا احساس می کنید که باید ناجی شخص دیگری باشید؟,0,0,1,0
از وقت و تلاش شما بسیار سپاسگزارم.روز خوبی داشته باشید!,1,0,1,1
من می فهمم ، متشکرمآیا این رویداد اخیراً یا چندی پیش اتفاق افتاده است؟,1,1,2,1
آیا در مورد آن فکر می کنید ، آیا می گویید که همیشه در هنگام بروز مشکلات ، همیشه خود را سرزنش می کنید؟,1,2,0,1
به نظر می رسد که شما امروز احساس می کنید ، آیا این یک توصیف دقیق از آنچه شما احساس می کنید؟,1,1,2,1
در حال حاضر همه چیز باید برای شما بسیار دشوار باشد ، بنابراین من نمی دانم که آیا اتفاق عمده ای رخ می دهد یا خیر.آیا در زندگی شما اتفاق می افتد که احساس بزرگتر از حد معمول کند؟,2,2,2,2
متاسفم که این را شنیدم ، امیدوارم که شما کمی بیشتر توضیح ندهید.آیا این اتفاق اخیراً رخ داده است یا در گذشته دورتر بود؟,2,2,2,2
اگر ممکن است بپرسم ، آیا احساس می کنید که می خواهید کسی را در زندگی خود کنترل کنید؟,2,1,2,2
آیا همیشه احساس می کنید چیزهایی که اشتباه می شوند تقصیر شما هستند؟,0,0,0,0
می بینم ، متشکرمبعد از گوش دادن به نگرانی های خود ، من فکر می کنم که احساس شما {} ، آیا این درست است؟,1,2,2,2
آیا همیشه در زندگی خود به مردم گوش کرده اید و هر زمان که با آنها صحبت کرده اید ، دیدگاه آنها را در مورد چیزها در نظر گرفته اید؟,0,1,1,1
آیا احساس بهتری دارید یا بدتر؟,0,0,0,0
وقایع از گذشته ما ممکن است احساسات بالایی را ایجاد کند.آیا هنگام انجام پروتکل 11 احساسات منفی شدید را تجربه کرده اید؟,1,1,2,1
اوه ، من از شنیدن این موضوع بسیار متاسفم.آیا یک وضعیت خاص باعث این امر شده است؟,1,2,2,2
خوبه.حالا که از طریق پروتکل کار کرده اید ، می توانید بگویید که آیا قبل از شروع احساس بهتری دارید یا بدتر از آن هستید؟,1,1,1,1
اگر ممکن است این را بپرسم ، آیا همیشه خود را به خاطر هر اتفاقی که می افتد مقصر می بینید؟,2,1,1,1
مشارکت شما بسیار ارزشمند بوده و واقعاً مورد استقبال قرار گرفته است ، از وقت شما متشکرم.امیدوارم به زودی ببینمت.,2,2,2,2
خوب است که روشی را که احساس می کنید احساس کنید.آیا شما اعتقاد دارید که قربانی هستید که احساس می کنید اینقدر احساس کمبود می کنید؟,2,1,2,2
متاسفم که این را شنیدمآیا می خواهید یک پروتکل متفاوت را امتحان کنید تا ببینید که آیا بهتر کار می کند؟,1,2,2,2
آیا از گذشته دور خود چیزی را به خاطر می آورید یا چیزی جدیدتر بود؟,1,0,1,1
می بینم ، متشکرمآیا احساس می کنید شخص دیگری مقصر غم و اندوه شما است؟,1,2,1,1
آیا شما همیشه و به طور مداوم خود را مقصر می دانید و خود را متهم می کنید و وقتی چیزی اشتباه پیش می رود ، حتی اگر در اعماق شما می توانید تشخیص دهید که این تقصیر شما نبوده است؟,1,1,0,1
آیا در مورد یک یا چند نفر موارد زیر را احساس کرده اید:,0,0,0,0
آیا می گویید بعد از گرفتن آن احساس بهتری دارید یا بدتر می شوید؟,1,0,1,1
آیا احساس می کنید که منجی کسی بودن مسئولیت شماست؟,0,1,1,1
من قصد دارم در مورد برخی از احساسات منفی دیگر از شما بپرسم.آیا می توانید به من بگویید که آیا اخیراً هیچ یک از این احساسات را نسبت به کسی احساس کرده اید:,2,0,1,1
آیا دیگران را به خاطر روشی که الان احساس می کنید سرزنش می کنید؟,0,0,1,0
من در اینجا چند پروتکل دارم که دوست دارم شما به آن نگاه کنید ، فکر می کنم آنها ممکن است بتوانند به شما کمک کنند.لطفاً پروتکل را که می خواهید امتحان کنید انتخاب کنید:,2,2,2,2
امیدوارم که این یک تجربه مثبت برای شما باشد.آیا می توانم از شما بپرسم که آیا شما قبل از شروع پروتکل حال شما بهتر یا بدتر شده اید؟,2,2,2,2
من می فهمم که شما احساس اضطراب می کنید.لطفا می توانید کمی بیشتر در این مورد به من بگویید؟آیا اضطراب ناشی از یک رویداد خاص یا وقایع است؟,2,1,2,2
آیا می گویید که همیشه دیدگاه ها و استدلال های دیگران را که ممکن است در بحث های قبلی به شما ارائه شده باشد ، با دقت در نظر گرفته اید؟,1,2,1,1
باز هم متشکرم ، درک من برای من مفید است.آیا ممکن است این باشد که شما سعی می کنید شخص دیگری را در انجام کاری که می خواهید انجام دهند ، کنترل یا دستکاری کنید؟,2,2,2,2
آیا این یک واقعه اخیر یا دور بود؟,0,0,0,0
آیا قبل از این احساس اتفاقی افتاده است؟,0,0,1,0
در این لحظه از زمان ، آیا درگیری اساسی در زندگی شما وجود دارد؟,0,0,1,0
آیا این احساسی است که نتیجه شما در حال انجام پروتکل 6 است؟,0,0,0,0
"با پروتکل در زمان خود پیش بروید.پس از اتمام ، فقط به یاد داشته باشید که روی ""ادامه"" کلیک کنید.",1,0,1,1
اخیراً اضطراب شما باعث شده است که شما هر یک از احساسات ناخواسته زیر را نسبت به هر کس دیگری داشته باشید:,0,1,1,1
این اخیراً بود ، یا چندی پیش این اتفاق افتاد؟,0,0,1,0
این اخیر بود یا دور؟,0,0,0,0
آیا می توانم بپرسم آیا اخیراً تحت فشار یا استرس زیادی قرار گرفته اید؟,2,1,1,1
من میفهمم.من معتقدم که شما احساس می کنید {} ، آیا می گویید درست است؟,1,1,2,1
از شنیدنش متاسفم.آیا یک رویداد خاص وجود دارد که ممکن است باعث شده است که شما اینگونه احساس کنید؟,2,1,2,2
آیا این پروتکل چه احساسی را برای بهتر یا بدتر تغییر داده است؟,0,1,1,1
من می توانم پروتکل دیگری را پیشنهاد کنم که اگر دوست دارید کمک کند.,1,1,0,1
آیا دوست دارید چیز دیگری را امتحان کنید که ممکن است مناسب تر باشد؟,1,1,1,1
خوب است که شما تشخیص داده اید که در حال حاضر چه احساسی دارید ، بیایید ببینیم آیا می توانیم احساسات منفی دیگری را که شما را آزار داده اند شناسایی کنیم.آیا اخیراً هیچ یک از موارد زیر را نسبت به هر کسی احساس کرده اید یا ابراز کرده اید:,2,2,2,2
ممنون که به آن پاسخ دادیدآیا تا به حال تصور می کنید که به غیر از خود نظر خود را داشته باشید؟,1,0,0,0
آیا احساس می کنید که از شما انتظار می رود دیگران را نجات دهید؟,1,0,1,1
این مایه تاسف استآیا پروتکل 6 را امتحان کرده اید و آیا همان احساسات دشواری را که نسبت به این رویداد احساس کرده اید ، برانگیخته است؟,1,1,2,1
با تشکر از شما برای به اشتراک گذاشتن آن با من ، بیایید کمی بیشتر به آن شیرجه بزنیم.اکنون می خواهم سؤالات دیگری از شما بپرسم تا بتوانم کمک کنم.,2,2,2,2
آیا توانسته اید در مکالمات قبلی خود دیدگاه های دیگران را در نظر بگیرید؟,0,1,0,0
من واقعاً دوست دارم به زودی دوباره شما را ببینم ، بنابراین لطفاً وقتی می توانید کنار بگذارید.,1,1,2,1
آیا اغلب احساس می کنید که وظیفه شماست که دیگران را نجات دهید ، یا اینکه افراد دیگر از شما انتظار دارند اینگونه باشید؟,1,1,2,1
از اینکه خیلی صبور و تعاونی هستید متشکرم.اگر مهم نیستید ، دوست دارم اگر احساس می کنید در حال حاضر دست و پنجه نرم می کنید به من بگویید.,2,2,2,2
آیا به ویژه چیزی وجود دارد که بتوانید به یاد بیاورید که ممکن است به شما کمک کند از این طریق؟,0,2,1,1
اگر به آن فکر می کنید ، آیا می خواهید اکنون قدرت کنترل شخصی را در زندگی خود داشته باشید؟,0,1,1,1
با تشکر از شما برای به اشتراک گذاشتن ، من می دانم که گاهی اوقات می تواند دشوار باشد.آیا می توانیم کمی بیشتر در مورد شرایط شخصی فعلی شما صحبت کنیم؟,2,2,2,2
آیا در حال حاضر به دلیل شخص دیگری احساس بدی می کنید؟,0,0,0,0
آیا مشکلی را تجربه می کنید یا در زندگی شخصی خود با بحران روبرو هستید؟,0,0,1,0
اوه نه ، این باید دشوار بود.این اخیر بود یا دور؟,1,2,2,2
آیا همیشه احساس می کنید که باید مردم را در زندگی خود نجات دهید؟,0,0,1,0
آیا مانند مشکلات مربوط به اعضای خانواده یا دوستان در وسط برخی از آسیب های شخصی هستید؟,0,1,1,1
متشکرم.من این تصور را می گیرم که احساس می کنید {} ، درست است؟,1,1,1,1
آیا اخیراً این اتفاق افتاده است ، یا این یک رویداد گذشته است که هنوز هم شما را تحت تأثیر قرار داده است؟,1,0,1,1
آیا اتفاق خاصی رخ داده است که باعث ناراحتی شما شده است؟,0,1,1,1
آیا فکر می کنید این امکان وجود دارد که شما فقط سعی کنید هر حرکتی را که شخص دیگری انجام می دهد کنترل کنید؟,1,0,1,1
آیا احساس می کنید این احساس اضطراب می تواند توسط هر احساسات دیگری نسبت به کسی ایجاد شود ، به عنوان مثال:,1,1,1,1
از اینکه وقت خود را برای تکمیل پروتکل وقت گذاشتید متشکریم.چگونه این احساس را به شما داده است - بهتر یا بدتر؟,2,1,2,2
آیا برای نجات دیگران احساس وزنی روی شانه های خود می کنید؟,0,1,1,1
آیا آن رویداد اخیر بود یا در گذشته شما دورتر بود؟,0,1,1,1
آیا احساس می کنید کسی اقتدار شما را نمی پذیرد ، اما باید؟,1,1,0,1
آیا دیدگاه های کسانی را که در گذشته با آنها صحبت کرده اید کاملاً در نظر گرفته اید؟,0,0,1,0
من نمی دانم که آیا غم و اندوه شما می تواند ریشه در یک مسئله گسترده تر داشته باشد.آیا در زندگی خود مشکلات اساسی را تجربه کرده اید ، آیا به عنوان مثال با یک دوست عزیز کنار گذاشته اید؟,2,1,2,2
اگر فکر نمی کنید می خواهم چند سوال دیگر از شما بپرسم.,0,1,1,1
حالا شما این پروتکل را امتحان کرده اید و به پایان رسیده اید ، آیا از وضعیت خود احساس بهتری دارید یا بدتر؟,1,0,1,1
احساس می کنم امروز کاملاً احساس می کنید ، درست است؟,0,1,0,0
آیا شما اعتقاد دارید که وقتی همه چیز برای برنامه ریزی پیش نمی رود ، همیشه باید روی خود سخت باشید؟,0,0,1,0
مشکلی نیست ، متشکرم که به من اطلاع دادید.آیا احساس می کنید که ممکن است کسی یا چیز دیگری باعث ایجاد احساسات منفی شما شود؟,2,1,2,2
آیا می گویید شخص دیگری باعث شده است که شما اینگونه احساس کنید؟,1,0,2,1
متاسفم که شما صدمه دیده اید ، لطفاً با من همراه باشید در حالی که من سعی می کنم این موضوع را بیشتر بررسی کنم.من می خواهم چند سؤال دیگر از شما بپرسم تا بتوانم اوضاع را کمی بهتر درک کنم.,2,2,2,2
بسیار متاسفم که شما این کار را می کنید.آیا اخیراً به پروتکل 6 اقدام کرده اید و این احساسات غیرقابل کنترل را در نتیجه وقایع قدیمی پیدا کرده اید؟,2,2,2,2
از اینکه وقت خود را برای تکمیل پروتکل وقت گذاشتید متشکریم.چگونه این احساس را به شما داده است - بهتر یا بدتر؟,2,1,2,2
بنابراین ، بعد از گذراندن پروتکل ، بهتر یا بدتر ، اکنون چه احساسی دارید؟,0,0,0,0
به قول خودتان ، لطفاً می توانید احساسی را که احساس می کنید مشخص کنید؟,1,2,2,2
آیا می گویید که به طور کلی به ورودی دیگران گوش می دهید؟,1,0,1,1
آیا وقتی اتفاق بدی رخ می دهد همیشه از خودتان عصبانی هستید؟,0,0,1,0
آیا می توانید لطفاً بیان کنید که اکنون که این پروتکل را پشت سر گذاشتید ، چه احساسی دارید؟,1,1,2,1
آیا می توانم از شما بپرسم که آیا الان احساس قربانی می کنید ، و شخص دیگری مسئول غم و اندوه شما است؟,2,1,1,1
سوال زیر ممکن است کمی مستقیم باشد ، اما لطفاً سعی کنید تا آنجا که می توانید صادقانه پاسخ دهید.آیا می گویید که در حال حاضر نیاز به کنترل کسی یا چیزی را احساس می کنید؟,2,1,2,2
اکنون می خواهم لیستی از احساسات را به شما نشان دهم.لطفاً به من بگویید که آیا به شدت احساس کرده اید یا هر یک از این احساسات را نسبت به کسی بیان کرده اید:,1,2,1,1
آیا به شدت احساس کرده اید یا احساسات زیر را نسبت به هر کسی در زندگی خود بیان کرده اید:,1,0,0,0
آیا در حال حاضر در روابط خود با دیگران مشکلات یا چالش های اساسی را تجربه می کنید؟,1,1,1,1
آیا دوست دارید خود را تصور کنید که قدرت و کنترل دیگران را گاهی اوقات انجام می دهید؟,1,0,1,1
خوب ، و سپس در مورد نحوه رفتار شما چیست.آیا در حال حاضر خواستار تلاش و کنترل کسی در زندگی شما وجود دارد؟,1,0,1,1
آیا می گویید که همیشه هر زمان که مشکلی پیش بیاید ، خود را سرزنش و متهم می کنید؟,1,1,1,1
آیا سعی کرده اید نگاه دقیق تری به دیدگاه دیگران بیندازید ، هر زمان که این موارد به شما ارائه شده باشد؟,0,0,1,0
بسیار عالی است که می شنوید که اینگونه احساس می کنید.من یک پروتکل دارم که ممکن است این احساس مثبت را تقویت کند ، آیا دوست دارید آن را امتحان کنید؟,2,2,2,2
آیا این اتفاقی است که اخیراً اتفاق افتاده است ، یا چیزی از گذشته که هنوز در ذهن شماست؟,1,0,1,1
خیلی متاسفم.لطفا به من بگویید که واقعاً چه احساسی دارید.,1,1,2,1
متشکرم ، من قدردانی می کنم که با من به اشتراک گذاشتید ، می دانم که این می تواند دشوار باشد.من می خواهم چند سوال دیگر بپرسم تا وضعیت خود را بهتر بشناسم.,2,2,2,2
متاسفم که این را شنیدمآیا می تواند به دلیل یک رویداد خاص باشد؟,2,1,1,1
آیا تا به حال به دیدگاه دیگران فکر کرده اید و آیا وقت خود را برای کشف آنها در نظر گرفته اید؟,0,0,1,0
من می شنوم که شما چه احساسی دارید.برای حمایت از شما ، می توانید به من بگویید که آیا یک رویداد خاص وجود دارد که باعث احساس شما شده است؟,2,2,2,2
همه با احساسات زیادی در طول روز سر و کار دارند و همه آنها مثبت نیستند.من می خواهم از شما بپرسم که آیا اخیراً هیچ یک از این احساسات را به ویژه احساس کرده اید:,2,1,2,2
با تشکر از شما برای به اشتراک گذاری این.آیا می توانید به من بگویید که اگر خود را قربانی می بینید ، شخص دیگری را مقصر می دانید که چه احساسی منفی دارید؟,2,2,2,2
من یک پروتکل برای شما دارم که فکر می کنم اگر علاقه مند باشید دوست دارید.,0,1,0,0
آیا ممکن است این باشد که ، گاهی اوقات ، شما مسئولیت اشتباهاتی را که انجام می دهید به دیگران نسبت می دهید یا تمایل به کاهش گناه دارید؟,2,1,2,2
از پاسخ های شما تاکنون متشکرماگر فکر نمی کنید می خواهم چند سوال دیگر از شما بپرسم.,1,1,2,1
آیا افراد دیگر مقصر هستند که احساس غم و اندوه می کنند؟,1,0,0,0
خوب ، متشکرم ، بیایید ببینیم آیا می توانیم به پایین این برسیم.چگونه در مورد ما چند سؤال را طی می کنیم و به برخی از رویکردها نگاه می کنیم که ممکن است به شما در احساس بهتر کمک کند.,1,1,2,1
از صراحت شما متشکرمبا قضاوت در مورد پاسخ شما ، من فکر می کنم که شما احساس می کنید {} ، آیا من در گفتن این حرف صحیح هستم؟,2,1,2,2
آیا سعی کردید از پروتکل 11 استفاده کنید ، و اگر چنین است ، آیا این احساسات به دلیل وقایع گذشته باعث ایجاد احساسات دشوار شده است؟,1,1,1,1
